"Количество лиц, получивших ранения в результате совершения ДТП";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2010";"";"";"";"";"";"";"";"";"";"";"";"2011";"";"";"";"";"";"";"";"";"";"";"2012";"";"";"";"";"";"";"";"";"";"";"";"2013";"";"";"";""
"";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь"
"Российская Федерация";"15061.0";"27717.0";"41507.0";"57449.0";"79758.0";"103179.0";"130551.0";"157637.0";"181779.0";"206489.0";"228777.0";"250635.0";"14572.0";"26861.0";"40522.0";"55537.0";"100403.0";"128016.0";"155967.0";"181339.0";"206738.0";"228631.0";"251848.0";"15661.0";"29995.0";"44936.0";"62378.0";"84682.0";"109646.0";"137713.0";"165989.0";"192154.0";"216384.0";"237471.0";"258618.0";"28436.0";"42913.0";"58807.0";"80330.0";"106531.0"
"Центральный фед.округ";"4353.0";"7924.0";"11691.0";"16499.0";"22912.0";"29642.0";"37190.0";"44622.0";"51207.0";"57737.0";"63680.0";"69613.0";"4030.0";"7292.0";"11006.0";"15207.0";"27917.0";"35624.0";"43174.0";"49876.0";"56367.0";"62331.0";"68665.0";"4362.0";"8373.0";"12181.0";"16851.0";"22876.0";"29393.0";"37025.0";"44394.0";"51331.0";"57528.0";"63035.0";"68270.0";"7428.0";"11156.0";"15270.0";"21251.0";"28157.0"
"Белгородская область";"84.0";"153.0";"230.0";"364.0";"535.0";"737.0";"918.0";"1108.0";"1294.0";"1476.0";"1645.0";"1811.0";"111.0";"217.0";"338.0";"450.0";"764.0";"951.0";"1130.0";"1308.0";"1462.0";"1623.0";"1779.0";"101.0";"189.0";"281.0";"418.0";"567.0";"720.0";"884.0";"1034.0";"1201.0";"1357.0";"1470.0";"1577.0";"150.0";"225.0";"323.0";"485.0";"643.0"
"Брянская область";"106.0";"207.0";"309.0";"448.0";"644.0";"846.0";"1077.0";"1304.0";"1497.0";"1645.0";"1794.0";"1923.0";"88.0";"160.0";"275.0";"409.0";"782.0";"1006.0";"1206.0";"1416.0";"1582.0";"1756.0";"1964.0";"132.0";"235.0";"346.0";"499.0";"641.0";"824.0";"1002.0";"1193.0";"1373.0";"1520.0";"1684.0";"1823.0";"213.0";"300.0";"423.0";"601.0";"808.0"
"Владимирская область";"244.0";"433.0";"633.0";"890.0";"1318.0";"1739.0";"2242.0";"2779.0";"3226.0";"3597.0";"4014.0";"4432.0";"275.0";"467.0";"682.0";"908.0";"1714.0";"2307.0";"2776.0";"3265.0";"3693.0";"4048.0";"4419.0";"245.0";"464.0";"668.0";"907.0";"1282.0";"1708.0";"2225.0";"2748.0";"3185.0";"3548.0";"3915.0";"4211.0";"455.0";"673.0";"897.0";"1265.0";"1734.0"
"Воронежская область";"230.0";"446.0";"721.0";"1071.0";"1520.0";"2007.0";"2628.0";"3184.0";"3616.0";"4109.0";"4517.0";"4806.0";"242.0";"448.0";"683.0";"992.0";"1947.0";"2549.0";"3090.0";"3549.0";"4052.0";"4473.0";"4796.0";"256.0";"498.0";"743.0";"1097.0";"1514.0";"1944.0";"2477.0";"3052.0";"3552.0";"3983.0";"4375.0";"4716.0";"544.0";"825.0";"1137.0";"1546.0";"1987.0"
"Ивановская область";"154.0";"252.0";"378.0";"542.0";"774.0";"1007.0";"1262.0";"1537.0";"1813.0";"2068.0";"2301.0";"2521.0";"150.0";"273.0";"418.0";"572.0";"992.0";"1303.0";"1656.0";"1905.0";"2142.0";"2380.0";"2614.0";"180.0";"330.0";"479.0";"648.0";"894.0";"1145.0";"1440.0";"1789.0";"2088.0";"2358.0";"2551.0";"2760.0";"259.0";"403.0";"531.0";"742.0";"1029.0"
"Калужская область";"133.0";"272.0";"404.0";"574.0";"756.0";"1000.0";"1241.0";"1481.0";"1698.0";"1910.0";"2105.0";"2332.0";"137.0";"255.0";"370.0";"510.0";"924.0";"1222.0";"1460.0";"1671.0";"1877.0";"2087.0";"2395.0";"229.0";"402.0";"521.0";"706.0";"951.0";"1191.0";"1473.0";"1798.0";"2071.0";"2290.0";"2527.0";"2851.0";"370.0";"534.0";"750.0";"1018.0";"1318.0"
"Костромская область";"92.0";"167.0";"229.0";"315.0";"446.0";"579.0";"726.0";"889.0";"980.0";"1149.0";"1293.0";"1378.0";"48.0";"94.0";"142.0";"208.0";"398.0";"527.0";"683.0";"799.0";"921.0";"1065.0";"1196.0";"59.0";"132.0";"170.0";"228.0";"311.0";"403.0";"517.0";"633.0";"754.0";"877.0";"955.0";"1062.0";"104.0";"154.0";"189.0";"257.0";"366.0"
"Курская область";"101.0";"202.0";"341.0";"541.0";"805.0";"1029.0";"1290.0";"1567.0";"1817.0";"2071.0";"2279.0";"2458.0";"118.0";"217.0";"336.0";"559.0";"1048.0";"1310.0";"1625.0";"1857.0";"2096.0";"2269.0";"2516.0";"157.0";"254.0";"388.0";"562.0";"803.0";"1046.0";"1368.0";"1614.0";"1942.0";"2144.0";"2356.0";"2551.0";"243.0";"346.0";"471.0";"709.0";"963.0"
"Липецкая область";"100.0";"229.0";"405.0";"603.0";"892.0";"1140.0";"1504.0";"1826.0";"2125.0";"2412.0";"2666.0";"2907.0";"176.0";"318.0";"479.0";"673.0";"1213.0";"1513.0";"1847.0";"2164.0";"2433.0";"2665.0";"2922.0";"214.0";"367.0";"555.0";"757.0";"1000.0";"1308.0";"1650.0";"1935.0";"2214.0";"2500.0";"2721.0";"2927.0";"285.0";"448.0";"620.0";"886.0";"1152.0"
"г. Москва";"1078.0";"1934.0";"2874.0";"3980.0";"5250.0";"6508.0";"7663.0";"8873.0";"10141.0";"11476.0";"12587.0";"13592.0";"797.0";"1647.0";"2598.0";"3515.0";"5987.0";"7151.0";"8539.0";"9852.0";"11161.0";"12367.0";"13610.0";"995.0";"1946.0";"2955.0";"4022.0";"5255.0";"6545.0";"7955.0";"9146.0";"10576.0";"11800.0";"12905.0";"14000.0";"1663.0";"2541.0";"3524.0";"4708.0";"5952.0"
"Московская область";"921.0";"1677.0";"2342.0";"3221.0";"4429.0";"5721.0";"7156.0";"8588.0";"9841.0";"11060.0";"12116.0";"13407.0";"809.0";"1358.0";"2028.0";"2793.0";"5183.0";"6712.0";"8145.0";"9384.0";"10561.0";"11605.0";"12714.0";"695.0";"1446.0";"2076.0";"2841.0";"3884.0";"5023.0";"6317.0";"7543.0";"8599.0";"9674.0";"10593.0";"11434.0";"1243.0";"1861.0";"2565.0";"3600.0";"4795.0"
"Орловская область";"75.0";"147.0";"246.0";"373.0";"541.0";"747.0";"968.0";"1170.0";"1379.0";"1536.0";"1692.0";"1830.0";"115.0";"203.0";"276.0";"387.0";"750.0";"944.0";"1134.0";"1307.0";"1467.0";"1618.0";"1804.0";"123.0";"208.0";"296.0";"412.0";"552.0";"710.0";"875.0";"1042.0";"1257.0";"1435.0";"1587.0";"1734.0";"186.0";"272.0";"353.0";"520.0";"723.0"
"Рязанская область";"223.0";"404.0";"544.0";"708.0";"945.0";"1245.0";"1581.0";"1856.0";"2099.0";"2348.0";"2585.0";"2902.0";"205.0";"334.0";"483.0";"600.0";"1182.0";"1612.0";"1998.0";"2299.0";"2559.0";"2855.0";"3140.0";"204.0";"351.0";"534.0";"737.0";"1027.0";"1345.0";"1832.0";"2260.0";"2552.0";"2865.0";"3139.0";"3420.0";"345.0";"536.0";"743.0";"1072.0";"1412.0"
"Смоленская область";"58.0";"144.0";"200.0";"300.0";"423.0";"605.0";"811.0";"1009.0";"1140.0";"1293.0";"1409.0";"1548.0";"74.0";"164.0";"224.0";"327.0";"587.0";"742.0";"898.0";"1056.0";"1200.0";"1340.0";"1551.0";"95.0";"190.0";"260.0";"380.0";"544.0";"693.0";"941.0";"1153.0";"1305.0";"1446.0";"1592.0";"1756.0";"179.0";"266.0";"345.0";"487.0";"694.0"
